                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6933,                 3.4402,                 1.3235,                0.47978,                0.40926,                0.36006,                0.25719,                 1.0591,                 3.6987,                 1.0555,             0.00010584,             0.00010584,             0.00010584
                      2,                 1.2346,                 1.2619,                 1.0799,                0.83483,                0.87849,                0.93499,                0.69029,                0.97476,                 1.0052,                 1.0155,             0.00020451,             0.00020451,             0.00020451
                      3,                 1.1677,                0.88437,                 1.0608,                0.86479,                0.88555,                0.95438,                0.69678,                0.97264,                0.79505,                 1.0079,             0.00028977,             0.00028977,             0.00028977
                      4,                 1.0984,                0.76315,                 1.0362,                0.84692,                0.90577,                0.95508,                0.69946,                0.98421,                0.80119,                0.99641,             0.00036162,             0.00036162,             0.00036162
                      5,                 1.0787,                0.72347,                 1.0395,                0.93709,                0.97836,                0.96748,                 0.7319,                0.94086,                0.62576,                0.98648,             0.00042007,             0.00042007,             0.00042007
                      6,                 1.0387,                 0.6275,                 1.0528,                0.96113,                0.98573,                0.98402,                0.73742,                0.97095,                0.59441,                0.98271,              0.0004116,              0.0004116,              0.0004116
                      7,                 1.0195,                0.58168,                 1.0459,                0.95459,                0.98256,                0.98664,                0.68177,                 1.1285,                0.60663,                 1.0076,             0.00037632,             0.00037632,             0.00037632
                      8,                0.98733,                  0.573,                 1.0233,                0.97697,                0.99072,                0.98821,                0.76772,                0.89691,                0.48541,                0.95797,             0.00034104,             0.00034104,             0.00034104
                      9,                0.95571,                0.52031,                 1.0149,                0.97632,                 0.9877,                0.99001,                0.75487,                0.90603,                0.47331,                0.95676,             0.00030576,             0.00030576,             0.00030576
                     10,                0.93611,                 0.4992,                 1.0032,                0.98492,                0.99108,                0.98815,                0.77384,                0.87759,                0.44779,                0.96953,             0.00027048,             0.00027048,             0.00027048
                     11,                0.94297,                0.48533,                 1.0137,                 0.9669,                0.98183,                0.98501,                0.77669,                0.84011,                  0.458,                 0.9562,              0.0002352,              0.0002352,              0.0002352
                     12,                0.92749,                0.47667,                0.99394,                0.97168,                 0.9885,                0.98514,                0.78576,                0.83127,                0.43155,                0.94885,             0.00019992,             0.00019992,             0.00019992
                     13,                0.87486,                0.44904,                0.97947,                0.97807,                0.98622,                0.98264,                0.76605,                0.88729,                 0.4394,                0.94755,             0.00016464,             0.00016464,             0.00016464
                     14,                0.86032,                0.43819,                0.98422,                0.97362,                0.99154,                0.98797,                 0.7773,                0.86032,                0.41748,                0.93643,             0.00012936,             0.00012936,             0.00012936
                     15,                0.83205,                0.42321,                0.96982,                0.97877,                0.99062,                0.98886,                0.77128,                0.86659,                0.40279,                 0.9394,              9.408e-05,              9.408e-05,              9.408e-05
